datetime,prcp
2016-10-28,0.0
2016-10-29,5.6
2016-10-30,1.9
2016-10-31,1.05
2016-11-01,0.3
2016-11-02,0.3
2016-11-03,0.3
2016-11-04,0.0
2016-11-05,5.8
2016-11-06,0.0
2016-11-07,1.5
2016-11-08,0.0
2016-11-09,20.8
2016-11-10,0.5
2016-11-11,1.3
2016-11-12,1.3
2016-11-13,3.6
2016-11-14,0.5
2016-11-15,1.5
2016-11-16,1.3
2016-11-17,1.5
2016-11-18,11.7
2016-11-19,2.8
2016-11-20,16.8
2016-11-21,4.1
2016-11-22,22.1
2016-11-23,8.1
2016-11-24,0.0
2016-11-25,5.85
2016-11-26,3.95
2016-11-27,5.1
2016-11-28,4.949999999999999
2016-11-29,2.9
2016-11-30,0.15
2016-12-01,0.0
2016-12-02,0.3
2016-12-03,0.0
2016-12-04,0.099
2016-12-05,0.75
2016-12-06,0.3
2016-12-07,8.9
2016-12-08,6.9825
2016-12-09,1.0
2016-12-10,14.95
2016-12-11,0.4
2016-12-12,0.5
2016-12-13,1.3
2016-12-14,1.5
2016-12-15,0.3
2016-12-16,1.3
2016-12-17,0.5
2016-12-18,0.3
2016-12-19,0.3
2016-12-20,0.3
2016-12-21,1.3
2016-12-22,0.3
2016-12-23,0.3
2016-12-24,1.3
2016-12-25,0.0
2016-12-26,1.0
2016-12-27,0.0
2016-12-28,0.3
2016-12-29,0.0
2016-12-30,0.3
2016-12-31,0.5
2017-01-01,0.5
2017-01-02,6.9
2017-01-03,0.3
2017-01-04,0.3
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,7.1
2017-01-08,0.3
2017-01-09,0.5
2017-01-10,1.5
2017-01-11,0.0
2017-01-12,0.15
2017-01-13,10.149999999999999
2017-01-14,0.3
2017-01-15,0.8
2017-01-16,4.3
2017-01-17,3.0
2017-01-18,0.3
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,2.9
2017-01-23,0.3
2017-01-24,2.55
2017-01-25,0.5
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,3.0
2017-01-29,2.3
2017-01-30,8.1
2017-01-31,2.8
2017-02-01,12.4
2017-02-02,3.8
2017-02-03,2.5
2017-02-04,4.6
2017-02-05,0.8
2017-02-06,0.3
2017-02-07,7.1
2017-02-08,2.5
2017-02-09,0.5
2017-02-10,0.3
2017-02-11,0.0
2017-02-12,0.3
2017-02-13,0.0
2017-02-14,0.55
2017-02-15,10.15
2017-02-16,3.95
2017-02-17,0.25
2017-02-18,2.8
2017-02-19,2.8
2017-02-20,0.5845
2017-02-21,0.5
2017-02-22,1.0
2017-02-23,2.0
2017-02-24,0.0
2017-02-25,0.3
2017-02-26,4.6
2017-02-27,4.3
2017-02-28,6.1
2017-03-01,1.3
2017-03-02,3.0
2017-03-03,0.0
2017-03-04,7.1
2017-03-05,2.0
2017-03-06,4.3
2017-03-07,0.0
2017-03-08,3.0
2017-03-09,1.5
2017-03-10,0.0
2017-03-11,0.3
2017-03-12,3.0
2017-03-13,3.6
2017-03-14,0.0
2017-03-15,0.4
2017-03-16,0.3
2017-03-17,0.3
2017-03-18,0.3
2017-03-19,0.3
2017-03-20,2.5
2017-03-21,3.3
2017-03-22,3.6
2017-03-23,6.6
2017-03-24,0.0
2017-03-25,3.3
2017-03-26,2.05
2017-03-27,0.55
2017-03-28,8.695500000000001
2017-03-29,2.3
2017-03-30,0.5
2017-03-31,0.0
2017-04-01,0.3
2017-04-02,0.0
2017-04-03,0.25
2017-04-04,0.5
2017-04-05,0.0
2017-04-06,4.05
2017-04-07,4.2
2017-04-08,4.05
2017-04-09,0.0
2017-04-10,2.55
2017-04-11,5.85
2017-04-12,0.15
2017-04-13,4.3
2017-04-14,0.15
2017-04-15,0.3
2017-04-16,0.0
2017-04-17,0.5
2017-04-18,0.0
2017-04-19,4.2
2017-04-20,0.0
2017-04-21,4.2
2017-04-22,1.65
2017-04-23,0.0
2017-04-24,4.3
2017-04-25,1.4
2017-04-26,2.3
2017-04-27,0.3
2017-04-28,1.0
2017-04-29,0.0
2017-04-30,2.3
2017-05-01,2.3
2017-05-02,0.5
2017-05-03,0.0
2017-05-04,0.3
2017-05-05,0.0
2017-05-06,1.258
2017-05-07,0.5
2017-05-08,4.45
2017-05-09,0.25
2017-05-10,0.0
2017-05-11,4.05
2017-05-12,4.6
2017-05-13,1.0
2017-05-14,9.1
2017-05-15,2.0
2017-05-16,1.5
2017-05-17,6.9
2017-05-18,17.5
2017-05-19,2.0
2017-05-20,0.0
2017-05-21,7.4
2017-05-22,0.0
2017-05-23,2.9
2017-05-24,0.15
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,2.3
2017-05-28,0.0
2017-05-29,5.8
2017-05-30,7.6
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,7.9
2017-06-04,0.0
2017-06-05,1.8
2017-06-06,16.8
2017-06-07,5.3
2017-06-08,0.8
2017-06-09,1.8
2017-06-10,0.5
2017-06-11,2.3
2017-06-12,0.5
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,1.4
