Museum,Kpi,Number_of_visitors,Date,Comments,Date_Logged,ObjectId,date,self_counts,total_counts,likes_counts,retweet_counts,neutral_counts,positive_counts,negative_counts,Sentiment_value,day,weekend
Bristol Museum,visits,817.0,2017-10-31,,2017/11/04 15:51:22.006+00,1573,2017-10-31,1.0,2.0,4.0,5.0,0.0,2.0,0.0,0.5317999999999999,Tuesday,False
Bristol Museum,visits,842.0,2017-11-01,,2017/11/04 15:50:37.551+00,1569,2017-11-01,4.0,0.0,9.0,11.0,0.0,0.0,0.0,,Wednesday,False
Bristol Museum,visits,645.0,2017-11-02,,2017/11/04 15:49:58.237+00,1566,2017-11-02,3.0,1.0,13.0,5.0,0.0,1.0,0.0,0.2023,Thursday,False
Bristol Museum,visits,977.0,2017-11-03,,2017/11/04 15:49:16.670+00,1563,2017-11-03,2.0,2.0,16.0,8.0,1.0,1.0,0.0,0.2997,Friday,False
Bristol Museum,visits,1703.0,2017-11-04,,2017/11/05 17:38:02.681+00,1261,2017-11-04,0.0,2.0,1.0,0.0,0.0,1.0,1.0,-0.1589,Saturday,True
Bristol Museum,visits,1192.0,2017-11-05,,2017/11/14 13:52:48.026+00,1229,,,,,,,,,,,False
Bristol Museum,visits,1192.0,2017-11-05,,2017/11/14 13:45:30.913+00,1224,,,,,,,,,,,False
Bristol Museum,visits,917.0,2017-11-07,,2017/11/14 13:46:19.617+00,1494,2017-11-07,1.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,Tuesday,False
Bristol Museum,visits,856.0,2017-11-08,,2017/11/14 13:46:31.865+00,1478,2017-11-08,2.0,3.0,13.0,10.0,2.0,1.0,0.0,0.31303333333333333,Wednesday,False
Bristol Museum,visits,595.0,2017-11-09,,2017/11/14 13:50:57.412+00,1466,2017-11-09,2.0,2.0,19.0,10.0,1.0,1.0,0.0,0.3775,Thursday,False
Bristol Museum,visits,772.0,2017-11-10,,2017/11/14 14:26:23.188+00,1438,2017-11-10,3.0,3.0,39.0,19.0,2.0,1.0,0.0,0.10606666666666666,Friday,False
Bristol Museum,visits,2150.0,2017-11-11,,2017/11/14 14:44:16.812+00,1422,2017-11-11,7.0,4.0,104.0,36.0,0.0,4.0,0.0,0.560825,Saturday,True
Bristol Museum,visits,1345.0,2017-11-12,,2017/11/14 14:42:55.642+00,1402,2017-11-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Sunday,True
Bristol Museum,visits,122.0,2017-11-13,,2017/11/14 14:47:24.706+00,1360,2017-11-13,2.0,2.0,26.0,10.0,1.0,1.0,0.0,0.28595,Monday,False
Bristol Museum,visits,644.0,2017-11-14,,2017/12/02 13:57:25.848+00,1350,2017-11-14,3.0,1.0,34.0,19.0,1.0,0.0,0.0,0.0,Tuesday,False
Bristol Museum,visits,742.0,2017-11-15,,2017/12/02 13:56:35.647+00,1331,2017-11-15,5.0,3.0,23.0,7.0,1.0,2.0,0.0,0.4027,Wednesday,False
