Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Not a Colony of Ants #STS,@MazonoAce,2017-08-12T12:23:14.000Z,False,Nice to see #trump at the Bristol museum today. ,0,0,1,0,['#trump'],['@POTUS'],[],https://pbs.twimg.com/profile_images/823657775708389376/z8QX5Szo_normal.jpg,https://x.com/MazonoAce/status/896346337666633730,tweet_id:896346337666633730
Rhian Rowson,@RhianRowson,2017-08-11T17:55:03.000Z,False,Scientists finding even more fascinating pathology in Bristol museum incredible bone collection ,0,2,13,0,[],['@bristolmuseum'],[],https://pbs.twimg.com/profile_images/606133212818112512/8LySu9my_normal.jpg,https://x.com/RhianRowson/status/896067454610194432,tweet_id:896067454610194432
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-11T16:15:28.000Z,False,#FunFactFriday #DeadlyDoris #Pliosaurus,0,3,9,0,"['#FunFactFriday', '#DeadlyDoris', '#Pliosaurus']",[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/896042391261544452,tweet_id:896042391261544452
Tracy Jenkins,@Tracer133,2017-08-11T16:02:27.000Z,False,"Bus trip to Bristol Museum, great day out and with childminding friends ",0,0,0,0,[],[],['\\U0001f44d'],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/Tracer133/status/896039116827185152,tweet_id:896039116827185152
Pete Bennett,@petebennett,2017-08-11T15:04:13.000Z,False,Testing a prototype #PostTruthGuide in Bristol Museum's art galleries this afternoon with… https://instagram.com/p/BXqGmR0lBCc/,0,0,1,0,['#PostTruthGuide'],[],[],https://pbs.twimg.com/profile_images/1026787337777426432/Cq6MKqpf_normal.jpg,https://x.com/petebennett/status/896024461744287744,tweet_id:896024461744287744
The i paper,@theipaper,2017-08-11T06:56:03.000Z,True,The Bristol museum that hosted dissections and housed young offenders http://trib.al/XK7CGHy,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1332292729657815040/Ghi84urE_normal.jpg,https://x.com/theipaper/status/895901610823626753,tweet_id:895901610823626753
realjenshofmann,@realjenshofmann,2017-08-10T21:25:03.000Z,False,Joshua #Reynolds - The 'Out of Town' PartyJBristol Museum & Art Gallery #fineart,0,0,1,0,"['#Reynolds', '#fineart']",[],[],https://pbs.twimg.com/profile_images/883441865680445441/Ac1bLcm7_normal.jpg,https://x.com/realjenshofmann/status/895757911716233216,tweet_id:895757911716233216
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-10T19:30:30.000Z,False,"We love our Mummies! Discover about life & death in Ancient Egypt, then make some Egypt-inspired crafts to take home http://bristolmuseums.org.uk/bristol-museum-and-art-gallery/whats-on/mummy-trouble/…",0,4,5,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/895729084533178368,tweet_id:895729084533178368
The i paper,@theipaper,2017-08-10T13:56:05.000Z,True,The Bristol museum that hosted dissections and housed young offenders http://trib.al/9xX5EBU,0,3,1,0,[],[],[],https://pbs.twimg.com/profile_images/1332292729657815040/Ghi84urE_normal.jpg,https://x.com/theipaper/status/895644928453332992,tweet_id:895644928453332992
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-10T13:53:57.000Z,False,"Some amazing pattern hunting, pattern designing & bag printing here at the museum today. How will Bristol's collections inspire you? ^ RH",0,3,2,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/895644390189826048,tweet_id:895644390189826048
